"number","title","pageid","namespace","length","touched"
"1","エイダ・ラブレス","1497","","16304","20220308013829"
"2","アイン・ランド","16939","","108623","20220117130533"
"3","ウィリアム・ハーシェル","18103","","16884","20220219041044"
"4","ヒルデガルト・フォン・ビンゲン","29027","","28469","20220529112034"
"5","アンゲラ・メルケル","29088","","71960","20220606204400"
"6","フローレンス・ナイチンゲール","36834","","29212","20220529000832"
"7","マリ・キュリー","38432","","112129","20220506200151"
"8","ハンナ・アーレント","39270","","42343","20220615031429"
"9","斎藤美津子","60488","","10398","20200917021943"
"10","青木薫","61203","","9797","20220503052635"
"11","シモーヌ・ヴェイユ_(哲学者)","64227","","90689","20220622040016"
"12","シモーヌ・ド・ボーヴォワール","66362","","73837","20220504123941"
"13","西川史子","68441","","18941","20220618001401"
"14","中村桂子","68708","","14421","20220529071700"
"15","イレーヌ・ジョリオ＝キュリー","72202","","44663","20220606212547"
"16","吉岡彌生","78004","","15733","20220622120118"
"17","佐藤友美子","78555","","11705","20220303084819"
"18","レイチェル・カーソン","80687","","13329","20220502085724"
"19","マリア・モンテッソーリ","93148","","12621","20220510034444"
"20","イ・ヨンスク","96069","","3696","20220303085239"
"21","大田弘子","96111","","23557","20220526063005"
"22","ローザ・ルクセンブルク","99217","","36815","20220502083231"
"23","アンナ・フロイト","107337","","3616","20180628004723"
"24","向井千秋","112455","","13684","20220609003140"
"25","上野千鶴子","117946","","67423","20220605213746"
"26","リン・マーギュリス","122729","","7087","20220615045527"
"27","水島広子","127758","","14156","20220521161300"
"28","メアリ・ウルストンクラフト","130034","","14633","20220227015153"
"29","中根千枝","132603","","12318","20220106063227"
"30","シーダ・スコチポル","145574","","5088","20210530172023"
"31","ジェーン・アダムズ","148511","","8526","20220116094026"
"32","深江誠子","156274","","3517","20220303115933"
"33","マーガレット・サッチャー","156419","","50384","20220612050312"
"34","江原由美子","157301","","6343","20220510042159"
"35","バーバラ・マクリントック","161186","","64624","20220207083652"
"36","エリザベス・H・ブラックバーン","162562","","9268","20220329014338"
"37","ジュリア・クリステヴァ","167416","","7428","20211223002745"
"38","佐野陽子","167454","","5556","20220621045827"
"39","南野知惠子","169283","","11603","20220426233149"
"40","荻野吟子","173301","","26766","20220621130055"
"41","メラニー・クライン","173496","","7408","20210207135727"
"42","リンダ・バック","174462","","5283","20210820150742"
"43","サリー・ライド","177703","","7226","20211219053303"
"44","カレン・ホーナイ","178319","","2086","20220111034535"
"45","マリア・ゲッパート＝メイヤー","178458","","6293","20210824141512"
"46","薄井坦子","194492","","6153","20220211191040"
"47","大妻コタカ","198674","","10695","20220310221151"
"48","米沢富美子","199949","","10439","20220614103337"
"49","エーディト・シュタイン","200369","","7973","20220305142727"
"50","リーゼ・マイトナー","205319","","60305","20220608145447"
"51","ジーン・ベスキー・エルシュテイン","205800","","4409","20220120035009"
"52","ジュディス・バトラー","206482","","20929","20220504123954"
"53","荘司雅子","209170","","5063","20220317012903"
"54","香川綾","211192","","12510","20220302221604"
"55","ジョージ・エリオット","220721","","13370","20211104141753"
"56","中西準子","239707","","8754","20220409134037"
"57","池田晶子_(文筆家)","246088","","11962","20220615005837"
"58","ドロシー・ホジキン","246629","","10126","20220318043044"
"59","田中優子","247544","","17460","20220513223211"
"60","黒田チカ","251100","","21126","20220428144912"
"61","ダナ・ハラウェイ","252639","","6949","20211220134424"
"62","目黒依子","260010","","2408","20220303120252"
"63","ルース・ベネディクト","260811","","8478","20220429142144"
"64","中島さち子","263669","","8292","20220208080249"
"65","シシリー・ソンダース","265549","","4374","20220111065228"
"66","ジュディス・ハーマン","266356","","4334","20220623114245"
"67","エリザベス・キューブラー＝ロス","269602","","11722","20220415074128"
"68","ハータ・エアトン","271627","","5770","20220504044837"
"69","トリイ・ヘイデン","272381","","3303","20220520123701"
"70","ロザリンド・フランクリン","284822","","12496","20220309003948"
"71","アーシュラ・フランクリン","284878","","2806","20220425103020"
"72","ジェーン・ルー","288856","","4512","20211219054042"
"73","ガヤトリ・C・スピヴァク","288893","","5714","20211123145530"
"74","ヘンリエッタ・スワン・リービット","303477","","29834","20220608094138"
"75","金子みつ","308273","","3272","20220202091605"
"76","海保静子","310672","","1153","20190104190231"
"77","グレース・ホッパー","312470","","9478","20220210125816"
"78","ヘンリエッタ・スウォープ","312844","","1698","20211219054403"
"79","セシリア・ペイン＝ガポーシュキン","313386","","3166","20220201110937"
"80","ウィリアミーナ・フレミング","313585","","4585","20210717015448"
"81","浜矩子","315883","","26654","20220225112653"
"82","紺谷典子","316847","","2792","20200526115224"
"83","キャサリン・ブロジェット","320559","","2143","20211207055838"
"84","マーサ・ヌスバウム","323517","","8676","20210918130409"
"85","ラウラ・バッシ","330517","","6842","20220327031649"
"86","秋田喜代美","330666","","6901","20220318115947"
"87","藤丸麻紀","335914","","1107","20220215063007"
"88","河合薫","347258","","7249","20220621114740"
"89","楠本イネ","354196","","19742","20220608050516"
"90","高橋裕子_(医学者)","354946","","1723","20181128124633"
"91","ジュディー・ホルデナー","355467","","1642","20200604073348"
"92","ベアトリス・ティンズリー","362266","","3662","20220201112307"
"93","石井志保子","362381","","6624","20220430010910"
"94","ジョスリン・ベル・バーネル","363093","","19209","20211221155344"
"95","シャーロット・ムーア＝シタリー","363707","","2140","20211219053821"
"96","アドリアーナ・カヴァレーロ","363988","","2171","20220502042949"
"97","マーガレット・バービッジ","366510","","5181","20211221160637"
"98","マーガレット・ミード","380232","","64815","20220429142438"
"99","ソフィ・ジェルマン","384726","","39365","20210426142108"
"100","カール・リープクネヒト","385401","","6076","20211103104319"
"101","エミー・ネーター","385749","","131413","20220327072145"
"102","ドロシー・L・セイヤーズ","390327","","17205","20220520021717"
"103","呉健雄","392119","","7758","20220518003450"
"104","アグネス・ポッケルス","395081","","2524","20210728225206"
"105","藤井紀子","395803","","5613","20220521090926"
"106","袖井孝子","399898","","2758","20220303113023"
"107","リイシ・オテルマ","401933","","1722","20210821073606"
"108","鶴見和子","402328","","22900","20220605002756"
"109","サンドラ・フェイバー","406740","","20429","20220202052857"
"110","飯島佐知子","409041","","1821","20220618074529"
"111","リータ・レーヴィ＝モンタルチーニ","410815","","6178","20220301071619"
"112","ヴェラ・ルービン","416294","","9712","20220311075125"
"113","貫戸朋子","423605","","2810","20220110040649"
"114","マーガレット・マーラー","427021","","2090","20220110184243"
"115","堀田あけみ","429044","","9177","20220428103056"
"116","ヘレーネ・ドイチュ","440949","","2201","20180730050425"
"117","ヘレン・ブルック・タウシグ","448032","","9258","20211001150412"
"118","C・ミシェル・オルムステッド","454812","","3222","20210821073832"
"119","ジョーン・ロビンソン","460300","","10974","20220621094232"
"120","エリザベス・ロフタス","467147","","17770","20211005003539"
"121","アイリス・マードック","472543","","13306","20220403083540"
"122","中村輝子_(生物学者)","486570","","1363","20191226105905"
"123","田村すず子","487542","","7594","20220402175431"
"124","村崎恭子","489530","","2410","20210131064146"
"125","マリーナ・フォン・ノイマン・ホイットマン","492664","","1782","20211102152115"
"126","志岐幸子","494395","","3420","20220519213118"
"127","左近司祥子","495003","","4504","20220120105709"
"128","太田朋子","512421","","7239","20220603105644"
"129","猿橋勝子","513202","","7716","20220128044924"
"130","神谷美恵子","517057","","31015","20220408172048"
"131","村川久子","518607","","3776","20220602061301"
"132","岡崎恒子","518640","","6526","20220330225559"
"133","本田由紀","519228","","11955","20220510035457"
"134","大日向雅美","529742","","6605","20211012070831"
"135","岩男寿美子","533015","","4592","20210911063104"
"136","カロライン・ハーシェル","536115","","14502","20220417141934"
"137","ガートルード・エリオン","536388","","6226","20211207062137"
"138","福田昌子","536630","","6458","20220227025725"
"139","鳥飼玖美子","538739","","57816","20220622231409"
"140","アニー・ジャンプ・キャノン","544624","","4482","20220201041650"
"141","ソフィア・コワレフスカヤ","546774","","20564","20220110160617"
"142","アントニア・モーリ","551357","","3509","20220201043921"
"143","小倉千加子","555304","","6957","20220228112307"
"144","大橋理枝","561805","","3627","20220521224443"
"145","エレノア・ヘリン","565799","","3316","20211219053910"
"146","藤原美子","566595","","12706","20220228123820"
"147","シオドーラ・クローバー","577539","","2598","20220104054305"
"148","ヒュパティア","583099","","18241","20220621083749"
"149","嘉田由紀子","601480","","49415","20220526032217"
"150","井深八重","603770","","5404","20211229144519"
"151","田口泰子","621733","","1570","20210913201026"
"152","シャーロット・アワーバック","625125","","2983","20211004143106"
"153","ジャネット・アクユズ・マッテイ","639058","","2565","20211219053854"
"154","マリア・ミッチェル","639577","","5550","20220131033322"
"155","澁谷知美","661734","","4439","20220303093418"
"156","丹下梅子","667065","","9287","20220303083632"
"157","今井通子","674486","","21387","20220427021150"
"158","金子康子","684519","","5312","20220115095939"
"159","リュドミーラ・チェルヌイフ","700808","","2266","20220608191538"
"160","エリザベス・レーマー","711683","","1648","20220305123747"
"161","班昭","717585","","2136","20220528092739"
"162","竹松舞","717781","","3114","20220530145313"
"163","エリザベス・スコット","721677","","1620","20200214055925"
"164","北澤咲弥花","734621","","3889","20220110040824"
"165","牟田和恵","736833","","6655","20220526152052"
"166","長谷川眞理子","738074","","10108","20220615123805"
"167","井口阿くり","757322","","45767","20220508022929"
"168","おおたわ史絵","758571","","9290","20220531063700"
"169","後藤玲子","760475","","3901","20180127080128"
"170","山口仲美","762050","","11642","20211121064252"
"171","中野とも子","764493","","1306","20210629152535"
"172","シャフィ・ゴールドワッサー","774536","","6015","20220309005124"
"173","白井聡子","775933","","2874","20210331100523"
"174","ガリーナ・スタロヴォイトワ","776056","","4972","20210313092454"
"175","仲真紀子","776487","","3517","20220622231152"
"176","小玉美意子","781835","","8601","20220303092843"
"177","工藤真由美","788666","","3621","20220509075157"
"178","テンプル・グランディン","796744","","6364","20220210004015"
"179","クララ・ツェトキン","808726","","4351","20220501223028"
"180","メアリー・ダグラス","817831","","7121","20220119121555"
"181","バーバラ・リスコフ","818356","","6385","20211207215120"
"182","織田うさこ","819863","","1598","20220110035554"
"183","松尾亜紀子","821265","","2492","20210517024135"
"184","マイラ・アディル・ローガン","824072","","2843","20220111054954"
"185","ローレン・スレイター","835199","","944","20200316120219"
"186","石原あえか","836566","","2762","20211221212938"
"187","秋山さと子","840231","","7972","20220531120527"
"188","後藤和子","842215","","3295","20210919111639"
"189","リン・ジョリッツ","847041","","2392","20210102030616"
"190","郷通子","849555","","4003","20220505075017"
"191","加藤万里子","855921","","3775","20220526123513"
"192","メアリー・エレン・ルーディン","856804","","2101","20210823071730"
"193","高木美也子","866117","","6174","20220615005746"
"194","川本裕子","866463","","9259","20220419234314"
"195","木原雅子","866480","","3526","20220502111748"
"196","益村眞知子","867096","","1161","20171013004512"
"197","鄭蘭貞","879435","","4099","20220505161540"
"198","大長今","879731","","9569","20220505160337"
"199","オランプ・ド・グージュ","888701","","11057","20220604154617"
"200","アンナ・コムネナ","890779","","17225","20220608150936"
"201","ナンシー・C・アンドレアセン","890915","","3898","20220415203125"
"202","天野正子","901129","","6976","20220607052455"
"203","リン・コンウェイ","903726","","5813","20220116101315"
"204","小泉典子","913234","","2492","20220403031656"
"205","セイラ・ベンハビブ","921527","","3482","20220604005139"
"206","大河原眞美","938136","","7201","20220311094947"
"207","杉井明美","944741","","3710","20211113130915"
"208","村崎芙蓉子","946865","","2804","20220110041410"
"209","西尾和美","949422","","4464","20220114083008"
"210","アスパシア","954092","","52215","20220413070111"
"211","ジェーン・グドール","954606","","10175","20220502005754"
"212","ネルソン・オルグレン","954952","","3064","20220403023106"
"213","鶴光代","955657","","1977","20220528080351"
"214","アレクサンドリアのテオン","970311","","2992","20220128133145"
"215","アグネス・クラーク","975713","","2625","20200402120220"
"216","山上敏子","977331","","3719","20220608015337"
"217","平木典子","977364","","7575","20220531011532"
"218","村瀬嘉代子","977371","","2390","20211026041329"
"219","柏木惠子","982898","","9155","20220608001129"
"220","中釜洋子","984217","","1929","20220531011131"
"221","山崎久美子","984792","","5011","20220525103247"
"222","陳淑梅","988133","","5658","20220601140354"
"223","波多野勤子","988741","","9259","20210519003339"
"224","中島和子","990369","","2848","20210604210214"
"225","寺村真希","994353","","2374","20220110030155"
"226","柳澤桂子","997576","","14215","20220131141620"
"227","針谷順子","1001470","","1615","20200917060034"
"228","伊奈川愛菓","1008430","","8243","20220222115830"
"229","マリア・ジビーラ・メーリアン","1022336","","36012","20220606010707"
"230","松田文子","1028117","","2440","20211113185430"
"231","青野篤子","1028214","","11890","20220120184049"
"232","三宅幹子","1028224","","1701","20200627221957"
