"number","title","pageid","namespace","length","touched"
"1","手塚治虫","493","","243467","20220628000314"
"2","ドナルド・クヌース","1023","","33200","20220626162122"
"3","マービン・ミンスキー","1033","","18950","20220514174157"
"4","ノーム・チョムスキー","1093","","77897","20220616044650"
"5","エドガー・ダイクストラ","1130","","29015","20211022093144"
"6","リチャード・ストールマン","1170","","23845","20220212221959"
"7","シャルル・メシエ","1406","","6736","20220311074733"
"8","老子","1432","","58730","20220623035549"
"9","小柴昌俊","1450","","21193","20220629120537"
"10","大森一樹","1965","","19468","20220505014420"
"11","ジョン・マッカーシー","2345","","23743","20220512153750"
"12","湯川秀樹","2592","","55019","20220616052358"
"13","ゲイリー・キルドール","2781","","34258","20211008153715"
"14","朝永振一郎","2909","","28932","20220630004911"
"15","ジョン・フォン・ノイマン","3359","","56860","20220426191946"
"16","ケン・トンプソン","3394","","26071","20220215021728"
"17","デニス・リッチー","3396","","24547","20220215021705"
"18","ブライアン・カーニハン","3397","","5095","20211207213926"
"19","クロード・シャノン","3447","","19785","20220702024341"
"20","アラン・チューリング","3449","","80669","20220629211506"
"21","ヨハネス・ファン・デル・ワールス","3673","","7519","20210621112826"
"22","オットー・ハーン","3675","","7247","20220221075855"
"23","アルベルト・アインシュタイン","4008","","114999","20220630080427"
"24","スティーヴン・ホーキング","4021","","34274","20220611191923"
"25","南方熊楠","4097","","105970","20220608234038"
"26","アラン・ケイ","4144","","28355","20220612145525"
"27","ダニエル・バーンスタイン","4579","","2708","20211022092100"
"28","カール・フリードリヒ・ガウス","4742","","40208","20220701094534"
"29","チャールズ・バベッジ","4763","","45743","20220620124141"
"30","ダグラス・エンゲルバート","4764","","39618","20220627145020"
"31","マイケル・ファラデー","4968","","49008","20220702024510"
"32","アルフレッド・ノーベル","5159","","26685","20220531103550"
"33","ヴィルヘルム・レントゲン","5255","","19349","20220513022721"
"34","ピエール＝シモン・ラプラス","5407","","10771","20220304131126"
"35","ガリレオ・ガリレイ","6311","","67370","20220630134929"
"36","ニコラウス・コペルニクス","6422","","82358","20220618155820"
"37","ヨハネス・ケプラー","6427","","26165","20220626144002"
