"number","title","pageid","namespace","length","touched"
"1","リチャード2世_(イングランド王)","30441","","30788","20210718113636"
"2","エドワード5世_(イングランド王)","30504","","7117","20210225064849"
"3","ヘンリー5世_(イングランド王)","30523","","26071","20210823104631"
"4","エドワード黒太子","33577","","16332","20220513192154"
"5","ヘンリー8世_(イングランド王)","34653","","50539","20220321105242"
"6","エドワード6世_(イングランド王)","34949","","6622","20210925190316"
"7","ジョージ2世_(イギリス王)","47495","","69607","20220608174625"
"8","フランソワ1世_(フランス王)","52852","","19736","20220105040706"
"9","ルイ12世_(フランス王)","52854","","9307","20211203130636"
"10","ルイ・フィリップ_(フランス王)","85516","","17373","20220127064432"
"11","ジョージ5世_(イギリス王)","90924","","41066","20211230020705"
"12","ハインリヒ6世_(神聖ローマ皇帝)","92201","","17162","20220605133055"
"13","フリードリヒ2世_(神聖ローマ皇帝)","95292","","71236","20220628014942"
"14","アーサー・ウェルズリー_(初代ウェリントン公爵)","96677","","174829","20220615100944"
"15","ホーコン7世","111736","","8307","20220410013202"
"16","ガブリエーレ・ダンヌンツィオ","125327","","22385","20220616023628"
"17","エドワード8世_(イギリス王)","129664","","58695","20220602225239"
"18","チャールズ2世_(イングランド王)","131869","","32035","20220128134840"
"19","ウィリアム3世_(イングランド王)","132360","","32834","20211024090342"
"20","ウィレム1世_(オランダ王)","134040","","9543","20220614033233"
"21","タンクレーディ_(シチリア王)","134982","","10058","20210918132556"
"22","グリエルモ2世","134987","","3771","20210821124621"
"23","カルロ1世_(シチリア王)","142280","","14707","20210823082348"
"24","カルロ2世_(ナポリ王)","142286","","8480","20210524214338"
"25","カール・フィリップ_(ヴェルムランド公)","152891","","7716","20220607094138"
"26","カルロ・アルベルト・ディ・サヴォイア","164288","","11067","20220315160457"
"27","サウェリン・アプ・グリフィズ","180669","","7975","20210312123233"
"28","ルッジェーロ2世","193274","","6912","20211115122313"
"29","フェリクス5世_(対立教皇)","205670","","9180","20220410102912"
"30","ウィレム1世_(オラニエ公)","215339","","18323","20211001000103"
"31","マウリッツ_(オラニエ公)","222384","","14295","20220624204803"
"32","マンフレーディ","240462","","5379","20210822051524"
"33","グリエルモ3世","241285","","3417","20200207120521"
"34","カルロ・エマヌエーレ3世","254731","","9755","20210622060223"
"35","ルイ2世_(コンデ公)","275102","","16886","20220602114507"
"36","オソン1世","282894","","9381","20220528133636"
