"number","title","pageid","namespace","length","touched"
"1","河合彩","42650","","7153","20220615015051"
"2","大石恵","71699","","5589","20220416014108"
"3","伊藤みどり","117453","","62989","20220608195210"
"4","中野友加里","176250","","49548","20220524001252"
"5","八木沼純子","190438","","15242","20220622091355"
"6","ジャネット・リン","223139","","11255","20220207144942"
"7","サーシャ・コーエン","223778","","35834","20211122024555"
"8","カロリーナ・コストナー","229105","","59486","20211031034731"
"9","石田治子","242214","","5697","20211112032332"
"10","福原美和","242229","","4805","20220603051245"
"11","稲田悦子","242242","","13688","20220222005310"
"12","カタリナ・ヴィット","242630","","20633","20220426102551"
"13","恩田美栄","309178","","35077","20220119075303"
"14","デニス・ビールマン","331190","","17706","20210112110029"
"15","井上怜奈","336431","","31635","20220629001325"
"16","イリーナ・スルツカヤ","337250","","47418","20220218014053"
"17","佐藤有香","340994","","13489","20210316121537"
"18","タチアナ・タラソワ","341103","","7007","20220218030211"
"19","北村明子","341623","","12370","20210106043022"
"20","太田由希奈","377669","","26458","20220509090732"
"21","城田憲子","389752","","8148","20220320140537"
"22","山田満知子","396057","","7534","20220609151343"
"23","ウルリッヒ・サルコウ","397333","","10008","20200913235341"
"24","小岩井久美子","398463","","4451","20201123054633"
"25","渡辺心","410686","","13856","20210103225034"
"26","澤田亜紀","415609","","23547","20220610143647"
"27","ミシェル・クワン","419465","","42157","20220130034958"
"28","サラ・ヒューズ","443568","","19929","20211122024222"
"29","トーニャ・ハーディング","457234","","16295","20220116124921"
"30","渡部絵美","457734","","15824","20220619073836"
"31","エミリー・ヒューズ","459683","","20247","20211122024908"
"32","キャロル・ヘイス・ジェンキンス","470872","","7978","20210312174319"
"33","ルシンダ・ルー","471116","","5445","20210315201020"
"34","キム・ヨナ","478742","","79034","20220624162805"
"35","佐藤久美子","482050","","5348","20200726104941"
"36","キミー・マイズナー","490023","","25321","20220124153259"
"37","ステファン・ランビエール","500953","","36175","20220210114444"
"38","マリア・ブッテルスカヤ","501156","","23398","20200726105351"
"39","申雪","501660","","32482","20200806151329"
"40","趙宏博","501661","","32709","20200726105411"
"41","キーラ・コルピ","514730","","36129","20211001151733"
"42","木戸章之","536059","","14455","20200726110001"
"43","ヴェラ・ラルストン","574030","","2587","20220612051135"
"44","平松純子","612024","","6654","20220310140229"
"45","藤森美恵子","612838","","2998","20180804134836"
"46","クリスティー・ヤマグチ","636101","","12123","20220309144851"
"47","イナ・バウアー","645530","","5883","20210313025649"
"48","エレーナ・ソコロワ","669605","","32733","20200726111142"
"49","エレーナ・リアシェンコ","677276","","26338","20220511143853"
"50","浅田舞","719419","","37396","20220518111702"
"51","ナンシー・ケリガン","749160","","6957","20200726111912"
"52","タラ・リピンスキー","760853","","14368","20220302083054"
"53","キャロライン・ジャン","803365","","25198","20220130035037"
"54","スルヤ・ボナリー","807156","","18745","20220505130439"
"55","ジェイミー・サレー","808536","","10951","20200920105926"
"56","エレーナ・ベレズナヤ","808633","","14643","20210320042608"
"57","マリナ・アニシナ","808907","","13718","20200726113332"
"58","陳露","810151","","15563","20220301154704"
"59","シェベシュチェーン・ユーリア","813366","","30756","20220509052652"
"60","タチアナ・ナフカ","825001","","16295","20210401041005"
"61","タチアナ・マリニナ","825255","","15562","20210404172815"
"62","武田奈也","825272","","25165","20220513160256"
"63","セルゲイ・サフノフスキー","827688","","15026","20200713074452"
"64","ガリト・チャイト","828363","","14920","20211122032554"
"65","張丹","828663","","33754","20200811121018"
"66","張昊","828794","","49518","20220503124837"
"67","タチアナ・トトミアニナ","829107","","17163","20200920111235"
"68","マキシム・マリニン","829118","","17249","20200920111251"
"69","姚濱","829772","","6978","20211001071556"
"70","椎名千里","831171","","14091","20210130105254"
"71","マキシム・スタビスキー","832077","","20550","20211122032305"
"72","長洲未来","867537","","44573","20220610235957"
"73","テンリー・オルブライト","871976","","6772","20210317011814"
"74","ジャネット・アルウェッグ","873398","","5221","20210714085603"
"75","鈴木明子","892240","","51529","20220513155234"
"76","トゥーバ・カラデミル","892367","","20903","20201212063742"
"77","タニス・ベルビン","892650","","27727","20220516034118"
"78","ベンジャミン・アゴスト","892759","","25921","20220516034114"
"79","坂頂みなみ","892929","","10070","20211218095154"
"80","水津瑠美","893089","","19126","20200810164137"
"81","ジョアニー・ロシェット","893118","","29806","20220309011305"
"82","クリス・リード","893849","","44476","20220607160348"
"83","オクサナ・バイウル","908700","","7284","20220225225037"
"84","ソニア・ヘニー","909876","","16151","20220114135141"
"85","ペギー・フレミング","909902","","5059","20210308195012"
"86","アネット・ペッチ","911229","","8264","20210318162450"
"87","ドロシー・ハミル","912781","","4664","20200914015325"
"88","村元小月","912899","","16772","20210612092201"
"89","アシュリー・ワグナー","915633","","40807","20220606194259"
"90","ベアトリクス・シューバ","916712","","7385","20210313100054"
"91","ショーケ・ディクストラ","916729","","5819","20200726121216"
"92","バーバラ・アン・スコット","916775","","9133","20220123125355"
"93","ヘルマ・サボー","916836","","4742","20210312202721"
"94","ヴィクトール・ペトレンコ","918421","","10959","20210726140613"
"95","サラ・マイアー","919557","","29081","20210612201300"
"96","アリッサ・シズニー","919771","","27601","20211120113426"
"97","ギリス・グラフストローム","922659","","6925","20220210094402"
"98","スザンナ・ポイキオ","924130","","20067","20201028134823"
"99","龐清","943954","","40507","20220626120430"
"100","佟健","943960","","40578","20220301181117"
"101","アレクセイ・ミーシン","951943","","20058","20220423041531"
