"number","title","pageid","namespace","length","touched"
"1","イルハン・マンスズ","50519","","13872","20220418080610"
"2","本田武史","292008","","43062","20220610061559"
"3","髙橋大輔_(フィギュアスケート選手)","340932","","95820","20220628231529"
"4","アレクセイ・ヤグディン","340958","","46406","20220606204001"
"5","田村岳斗","341536","","20752","20220610163736"
"6","イリヤ・クーリック","382040","","9377","20210316195514"
"7","エフゲニー・プルシェンコ","406233","","111838","20220617071000"
"8","エルビス・ストイコ","428509","","24608","20200913144932"
"9","フィリップ・キャンデロロ","448627","","37670","20211111235949"
"10","佐野稔","455794","","10695","20220530031333"
"11","カート・ブラウニング","470671","","8928","20200914014826"
"12","アレクセイ・ウルマノフ","470938","","12809","20210316040221"
"13","トッド・エルドリッジ","471153","","22047","20200726104751"
"14","小塚崇彦","477277","","59498","20220608170357"
"15","オッタビオ・チンクアンタ","479045","","1394","20210814053053"
"16","ティモシー・ゲーブル","501141","","26561","20220117070357"
"17","ジョニー・ウィアー","505647","","42406","20220611062400"
"18","樋口豊_(フィギュアスケート選手)","599933","","6732","20210315025101"
"19","杉田秀男","600417","","4362","20210317133032"
"20","エヴァン・ライサチェク","615497","","51887","20220509052534"
"21","小林宏一","717984","","17294","20220519160128"
"22","ブライアン・ジュベール","780160","","67499","20220627202236"
"23","中庭健介","804979","","26435","20220608173119"
"24","李成江","810316","","19727","20200726113352"
"25","張民","811761","","20360","20200726113402"
"26","南里康晴","824343","","24115","20220513123437"
"27","神崎範之","824348","","9872","20191012142455"
"28","鍵山正和","890496","","5210","20220329045357"
"29","無良崇人","892269","","49759","20220511110039"
"30","町田樹","892285","","60422","20220509084905"
"31","柴田嶺","892298","","21695","20220610085745"
"32","アルバン・プレオベール","892996","","22546","20220625231405"
"33","クリストファー・メイビー","904502","","17138","20210205145230"
"34","スコット・ハミルトン_(フィギュアスケート選手)","921082","","6171","20210914075826"
"35","ロビン・カズンズ","921120","","6487","20210313123003"
"36","ジョン・カリー","922346","","10426","20220117063259"
"37","オンドレイ・ネペラ","922388","","6547","20220117081902"
"38","ヴォルフガング・シュヴァルツ","922425","","3809","20200726121506"
"39","マンフレート・シュネルドルファー","922438","","5090","20210831031831"
"40","デヴィッド・ジェンキンス_(フィギュアスケート選手)","922489","","6526","20210308191518"
"41","ヘイス・アラン・ジェンキンス","922514","","6037","20210316094554"
"42","ディック・バトン","922595","","8212","20220123135903"
"43","カール・シェーファー","922616","","10076","20210313041250"
"44","エマニュエル・サンデュ","924151","","21381","20220606222739"
"45","ブライアン・オーサー","932378","","15705","20220506191422"
"46","トマシュ・ベルネル","939694","","38707","20211003150235"
"47","無良隆志","967358","","8169","20200214100149"
"48","竹内洋輔","967398","","14819","20220323121251"
"49","アクセル・パウルゼン","969214","","2532","20220213224612"
"50","イリヤ・クリムキン","972542","","21920","20200726122656"
"51","ライアン・ブラッドレイ","972567","","17573","20210404132836"
"52","小川勝","989678","","3554","20220131132738"
"53","天野真","992623","","7239","20210103225522"
"54","小塚嗣彦","995147","","3086","20200726123236"
"55","及川史弘","995159","","4160","20220208072843"
"56","加納誠","995202","","3152","20200726123306"
"57","松村充","995224","","3136","20220221092349"
"58","老松一吉","996447","","4974","20200726123457"
"59","片山敏一","996475","","1877","20211215063227"
"60","重松直樹","996488","","7736","20210317175033"
"61","パトリック・チャン","1006230","","54760","20220608031849"
"62","郭政新","1006646","","10337","20200726123847"
"63","馬暁東","1015073","","13487","20170302070137"
"64","ヤン・ホフマン","1025172","","6451","20210317060414"
"65","チャールズ・ティックナー","1025223","","3504","20210317010453"
"66","ティモシー・ウッド","1025290","","3583","20200710041302"
"67","エメリッヒ・ダンツァー","1025311","","5221","20211001071606"
"68","アラン・カルマ","1025328","","6633","20220521155928"
"69","ドナルド・マクファーソン","1025348","","2919","20160924221040"
"70","ドナルド・ジャクソン","1025355","","6636","20200914000111"
"71","アラン・ジレッティ","1027817","","4521","20220417091138"
"72","ヘンリー・グラハム・シャープ","1027843","","2759","20211008220410"
"73","フェリックス・カスパー","1027864","","4430","20200412144614"
"74","ウィリー・ベックル","1027887","","6479","20210313030721"
"75","フリッツ・カチラー","1027906","","4309","20200412134515"
"76","ギルベルト・フックス","1027910","","2030","20210311144434"
"77","ピエール・ブリュネ","1035170","","6661","20210312200045"
"78","エルンスト・バイアー","1035203","","7289","20210311110633"
"79","クルト・オッペルト","1035259","","4567","20211128020143"
"80","ハインリヒ・ブルガー","1035289","","4713","20211128020243"
"81","ルードビヒ・ブレーデ","1050132","","3101","20200726125447"
"82","キラーイ・エデ","1050835","","5591","20211001071616"
"83","ハンス＝ユルゲン・ボイムラー","1051286","","6978","20200713075526"
"84","ランディ・ガードナー","1051941","","2850","20210223165143"
"85","シュテファン・リンデマン","1065650","","26236","20200726130037"
"86","アレクサンドル・アブト","1065667","","18973","20200726130047"
"87","マイケル・ワイス","1065692","","23110","20210318194922"
"88","ポール・ワイリー","1067753","","6850","20200909072659"
"89","ペトル・バルナ","1067790","","5588","20200726130157"
"90","ヨゼフ・サボフチク","1067829","","4481","20210313113703"
"91","パトリック・ペラ","1069582","","4792","20200726130347"
"92","スコット・アレン","1069704","","3499","20210811065007"
"93","カロル・ディビン","1069717","","4504","20220605162735"
"94","ジェームズ・グローガン","1070512","","3640","20200903172202"
"95","ヘルムート・ザイブト","1070557","","3294","20200204111703"
"96","エディ・ラダ","1070578","","3139","20200803155043"
"97","マルティン・スティクスルート","1070727","","3726","20211127053744"
"98","アンドレアス・クログ","1070762","","2885","20211127050907"
"99","村田光弘","1077205","","1450","20200726130807"
"100","小山朋昭","1077396","","3465","20210314205132"
"101","マシュー・サボイ","1079304","","19890","20220117073156"
"102","ニコライ・パニン","1084024","","6526","20210311115838"
"103","藤井辰哉","1084157","","5240","20220616071744"
"104","田中総司_(フィギュアスケート選手)","1085061","","8915","20161123095703"
"105","アーサー・カミング","1085199","","2475","20200726130857"
"106","ジェフリー・ホール＝セイ","1085203","","1672","20200726130907"
"107","伊東秀仁","1085239","","3751","20220520201425"
"108","ヴェルナー・リットベルガー","1086727","","5155","20200914012836"
"109","鈴木誠一_(フィギュアスケート選手)","1090587","","4347","20210317180250"
"110","クリスティアン・ラウフバウアー","1091341","","11883","20181217113658"
"111","岩本英嗣","1093108","","10166","20181125120250"
"112","岡崎真","1094337","","9525","20210827105227"
"113","織田信成_(フィギュアスケート選手)","1095478","","86098","20220703011303"
"114","ジェレミー・アボット","1096661","","36691","20211001152440"
"115","高崧_(フィギュアスケート選手)","1096730","","11641","20200905100049"
"116","エリック・ミロー","1099311","","7674","20201031060820"
"117","ライアン・オメラ","1100836","","7294","20220117062422"
"118","エドガー・サイアーズ","1102077","","3268","20211128120303"
"119","ベージル・ウィリアムズ","1102232","","2152","20200726131857"
"120","エドゥアルト・エンゲルマン","1105780","","2454","20220219081045"
"121","フェルトファーリ・ティボル","1105790","","1516","20180129235457"
"122","カルロ・ファッシ","1106460","","5085","20210315171420"
"123","ノルベルト・シュラム","1106492","","4520","20210313080750"
"124","徐銘","1108946","","10102","20180829114610"
"125","村上大介","1109159","","25622","20220307101055"
"126","スティーブン・キャリエール","1122116","","21745","20220509052835"
"127","アーミン・マーバヌーザデー","1159723","","13709","20210904143217"
"128","ブランドン・ムロズ","1159909","","17430","20180412155301"
"129","ポール・ポワリエ","1160323","","40912","20220224063254"
"130","関金林","1196891","","14715","20220122143801"
"131","オースティン・カナラカン","1196903","","10058","20161211215858"
"132","アルチョム・ボロドゥリン","1196916","","13521","20200726141618"
"133","セルゲイ・ダヴィドフ_(フィギュアスケート選手)","1209649","","16203","20220509052925"
"134","セルゲイ・ドブリン","1210072","","21144","20190117144651"
"135","ヴァンサン・レステンクール","1235286","","15951","20200202075648"
"136","スタニック・ジャネット","1235310","","11938","20170216154309"
"137","イワン・ディネフ","1235549","","22842","20200726142729"
"138","イゴール・パシケビッチ","1235571","","6367","20200710052323"
"139","ライアン・ヤンキー","1235643","","13179","20160912105104"
"140","セルゲイ・ボロノフ","1235661","","40513","20220315224823"
"141","アンドレイ・ウラシェンコ","1237344","","14076","20200726142808"
"142","レネ・ローゼ","1240684","","9511","20220428124804"
"143","アンドレイ・グリアゼフ","1245039","","25512","20201130090035"
"144","ドミトリー・ソロビエフ","1245044","","37772","20211130145057"
"145","フレデリック・ダンビエ","1248919","","19732","20200726143149"
"146","クリストファー・ボウマン","1250563","","5879","20210316053327"
"147","グジェゴシュ・フィリポフスキ","1250697","","5196","20200726143308"
"148","ジャン＝クリストフ・シモン","1250736","","3925","20200726143318"
"149","デヴィッド・サンティ","1250981","","3579","20200726143338"
"150","ロバート・ワーゲンホッファー","1250995","","2855","20141010043825"
"151","スコット・デイヴィス_(フィギュアスケート選手)","1251148","","3073","20200710050938"
"152","ロマン・セロフ","1252242","","12317","20181012102344"
"153","ジョン・ケアー","1255073","","23192","20220405130658"
"154","有坂隆祐","1256589","","4885","20210311094135"
"155","デヴィッド・ウィルソン_(フィギュアスケート選手)","1269391","","5180","20220117060252"
"156","フランク・キャロル","1271787","","7842","20220211024537"
"157","ルディ・ガリンド","1274151","","6700","20220117063342"
"158","アレクサンダー・ケーニッヒ","1276409","","5759","20200726143818"
"159","マーク・カックレル","1281745","","3358","20200726144328"
"160","デリック・デルモア","1281773","","15358","20170823095225"
"161","アレクサンドル・シュービン","1281783","","10401","20181011012109"
"162","デニス・ファン","1281801","","12513","20210918033508"
"163","スタニスラフ・ティムチェンコ","1283034","","14108","20181013170047"
"164","都築章一郎","1292519","","3197","20181125122918"
"165","アレクセイ・ワシレフスキー","1303358","","10391","20190607122832"
"166","李運飛","1303407","","10036","20200726145709"
"167","アンソニー・リュウ","1304074","","12679","20200726145729"
"168","デイモン・アレン_(フィギュアスケート選手)","1304140","","5246","20220117055338"
"169","宋倫","1304275","","7303","20190606123409"
"170","アントン・スミルノフ","1304311","","5189","20181103125516"
"171","マイケル・チャック","1304371","","3796","20190602122118"
"172","張樹斌","1304412","","3534","20200726145739"
"173","コルネル・ゲオルゲ","1307527","","7590","20200726145819"
"174","ショーン・ソーヤー","1312191","","19663","20200726150109"
"175","キーファー・ハベル","1315077","","15727","20211118161832"
"176","ゲオルゲ・チッパー","1318611","","16149","20200726150349"
"177","アンドレイ・ルータイ","1318617","","15705","20200606071515"
"178","アレクサンドル・ウスペンスキー","1318628","","17815","20220509052954"
