word,pos,total,articles
研究,名詞,4261,966
大学,名詞,2918,849
学,名詞,2900,878
教授,名詞,2275,867
日本,名詞,2220,804
彼女,名詞,1987,304
女性,名詞,1720,494
科学,名詞,1373,508
博士,名詞,1356,751
学者,名詞,1318,833
教育,名詞,1256,445
社会,名詞,1137,374
科,名詞,1095,514
卒業,名詞,961,673
行う,動詞,910,401
大学院,名詞,897,500
学校,名詞,803,384
学会,名詞,780,302
受ける,動詞,757,316
性,名詞,753,278
アメリカ,名詞,749,272
務める,動詞,748,420
取得,名詞,740,479
研究所,名詞,734,327
論文,名詞,709,323
看護,名詞,704,83
専門,名詞,687,549
経済,名詞,663,184
賞,名詞,662,302
心理,名詞,660,172
委員,名詞,636,237
できる,動詞,634,216
号,名詞,615,346
哲学,名詞,590,156
ない,形容詞,586,218
課程,名詞,579,390
受賞,名詞,579,298
活動,名詞,575,270
生まれる,動詞,547,439
国際,名詞,538,266
東京,名詞,536,279
ドイツ,名詞,528,132
言語,名詞,527,149
医学,名詞,520,213
名誉,名詞,519,325
数学,名詞,517,121
当時,名詞,513,213
州,名詞,509,226
結婚,名詞,503,289
世界,名詞,503,245
夫,名詞,502,252
植物,名詞,490,101
知る,動詞,486,293
学ぶ,動詞,473,289
学部,名詞,472,288
物理,名詞,469,133
文化,名詞,465,208
出身,名詞,459,408
出版,名詞,456,200
発表,名詞,452,217
得る,動詞,451,210
父,名詞,446,204
病院,名詞,441,155
講師,名詞,435,311
昭和,名詞,429,111
持つ,動詞,417,218
発見,名詞,413,153
フランス,名詞,412,110
高等,名詞,411,235
学科,名詞,410,276
女子,名詞,409,172
医師,名詞,409,157
時代,名詞,399,188
修了,名詞,397,304
語,名詞,393,160
人物,名詞,393,279
助教授,名詞,389,290
医,名詞,388,150
就任,名詞,385,220
専攻,名詞,383,284
問題,名詞,381,187
長,名詞,380,231
化学,名詞,378,125
主義,名詞,376,108
生まれ,名詞,376,355
開発,名詞,373,162
最初,名詞,366,192
続ける,動詞,363,184
協会,名詞,359,203
現在,名詞,356,264
技術,名詞,356,180
学位,名詞,356,226
東京大学,名詞,354,181
経る,動詞,351,294
センター,名詞,350,203
分野,名詞,348,253
生活,名詞,344,172
政治,名詞,344,145
指導,名詞,341,187
文学,名詞,339,179
考える,動詞,338,154
修士,名詞,336,279
自身,名詞,336,162
働く,動詞,335,182
