word,pos,total,articles
選手権,名詞,7549,1539
位,名詞,7368,1050
スケート,名詞,5824,2488
シーズン,名詞,5005,903
フィギュア,名詞,4248,2466
選手,名詞,3708,2509
世界,名詞,3239,1022
出場,名詞,3185,910
優勝,名詞,3069,1038
ジュニア,名詞,2459,742
オリンピック,名詞,2418,933
出身,名詞,2377,2288
グランプリ,名詞,1999,640
シングル,名詞,1901,1503
杯,名詞,1837,640
女子,名詞,1753,1275
代表,名詞,1739,1135
ペア,名詞,1667,566
大会,名詞,1419,608
パートナー,名詞,1350,1144
回転,名詞,1327,164
シリーズ,名詞,1299,518
ロシア,名詞,1217,446
獲得,名詞,1215,441
女性,名詞,1029,994
経歴,名詞,981,979
果たす,動詞,960,511
カナダ,名詞,938,352
競技,名詞,927,480
アイスダンス,名詞,922,618
ファイナル,名詞,883,309
全日本,名詞,844,167
ジャンプ,名詞,823,208
カップル,名詞,808,301
結成,名詞,782,447
引退,名詞,771,541
始める,動詞,767,617
国際,名詞,762,493
シニア,名詞,709,447
クラス,名詞,699,411
アメリカ,名詞,695,377
欧州,名詞,686,290
全米,名詞,678,204
日本,名詞,654,253
総合,名詞,626,217
演技,名詞,588,196
連続,名詞,587,283
終わる,動詞,574,339
参戦,名詞,569,414
大陸,名詞,568,265
男性,名詞,542,542
入る,動詞,536,291
表彰台,名詞,513,327
フリー,名詞,495,150
戦,名詞,489,206
練習,名詞,488,263
ミス,名詞,458,156
生まれる,動詞,433,420
初,名詞,428,263
メダリスト,名詞,424,343
活動,名詞,420,279
現在,名詞,420,324
最高,名詞,418,227
メダル,名詞,411,243
組,名詞,410,173
進出,名詞,407,269
アクセル,名詞,400,103
入賞,名詞,399,238
発表,名詞,389,253
中国,名詞,378,166
銀メダル,名詞,373,189
連覇,名詞,370,207
アメリカ合衆国,名詞,369,329
解散,名詞,369,254
成功,名詞,362,112
ドイツ,名詞,356,161
フランス,名詞,356,155
度目,名詞,346,189
できる,動詞,340,197
所属,名詞,337,233
ループ,名詞,334,83
州,名詞,330,233
ない,形容詞,326,206
銅メダル,名詞,324,196
自己,名詞,323,174
更新,名詞,322,150
行う,動詞,320,211
トリノ,名詞,318,161
ベスト,名詞,318,151
転向,名詞,313,250
受ける,動詞,313,189
開催,名詞,309,199
男子,名詞,307,251
欠場,名詞,300,186
続く,動詞,300,179
得点,名詞,298,129
組む,動詞,296,222
ヨーロッパ,名詞,295,223
ソチ,名詞,287,171
ウクライナ,名詞,286,138
終了,名詞,286,230
転倒,名詞,282,134
自身,名詞,279,173
成績,名詞,271,203
順位,名詞,271,174
指導,名詞,271,163
飾る,動詞,270,193
連盟,名詞,270,166
五輪,名詞,268,105
バンクーバー,名詞,264,164
長野,名詞,253,137
イタリア,名詞,248,103
変更,名詞,245,176
拠点,名詞,244,178
チェコ,名詞,242,113
選出,名詞,241,178
ショートプログラム,名詞,240,137
枠,名詞,238,132
怪我,名詞,238,183
モスクワ,名詞,230,153
解消,名詞,225,182
チャンピオン,名詞,223,202
時代,名詞,219,157
コンビネーション,名詞,217,91
卒業,名詞,215,144
スピン,名詞,207,138
人物,名詞,207,200
冬季,名詞,204,127
試合,名詞,204,142
立つ,動詞,202,144
イギリス,名詞,201,113
技術,名詞,201,135
決める,動詞,198,126
スロバキア,名詞,198,86
ころ,名詞,198,186
参加,名詞,198,143
スケーター,名詞,197,155
アイス,名詞,197,143
スイス,名詞,192,92
昌,名詞,190,103
プログラム,名詞,189,101
同年,名詞,189,139
語,名詞,188,144
出演,名詞,187,92
ソビエト,名詞,184,118
逃す,動詞,179,123
連邦,名詞,179,120
振付,名詞,178,114
平,名詞,178,95
結婚,名詞,177,155
記録,名詞,172,88
ノー,名詞,171,90
移す,動詞,170,138
トウ,名詞,169,54
復帰,名詞,168,127
棄権,名詞,168,139
最後,名詞,168,129
プロ,名詞,167,109
高い,形容詞,164,67
ロス,名詞,163,110
チーム,名詞,163,92
史上,名詞,161,84
現役,名詞,161,125
エリック,名詞,159,104
金メダル,名詞,159,99
テレ,名詞,159,105
全て,名詞,159,101
コム,名詞,155,104
師,名詞,155,108
当時,名詞,155,111
ショー,名詞,155,110
ダンス,名詞,154,64
続ける,動詞,151,125
オーストリア,名詞,148,98
デビュー,名詞,148,109
いう,動詞,147,81
スポーツ,名詞,147,90
出遅れる,動詞,147,93
最終,名詞,146,114
さ,名詞,145,59
移行,名詞,143,131
彼女,名詞,143,51
ボン,名詞,142,95
結果,名詞,141,94
母,名詞,141,96
務める,動詞,141,96
予選,名詞,140,113
国内,名詞,140,122
トリプル,名詞,140,57
パール,名詞,140,94
フリップ,名詞,139,71
銅,名詞,139,135
韓国,名詞,139,66
コウ,名詞,138,66
つける,動詞,138,83
ユニバーシアード,名詞,138,98
サル,名詞,137,65
マーク,名詞,136,101
以来,名詞,134,100
銀,名詞,132,126
氷,名詞,132,64
思う,動詞,131,50
ハンガリー,名詞,130,58
主,名詞,130,121
生まれ,名詞,130,129
留まる,動詞,130,97
大学,名詞,129,85
しまう,動詞,129,71
スウェーデン,名詞,129,53
予定,名詞,127,97
