word,pos,total,articles
アイドル,名詞,15624,3716
活動,名詞,12470,2334
所属,名詞,10798,3322
出演,名詞,10362,1838
日本,名詞,10072,3966
メンバー,名詞,9336,1920
出身,名詞,8246,3706
同年,名詞,6944,1219
デビュー,名詞,6716,1594
グラビア,名詞,6646,1987
女優,名詞,5948,1716
卒業,名詞,5424,1442
公演,名詞,5050,566
発表,名詞,5014,1104
タレント,名詞,4986,1948
グループ,名詞,4960,1346
番組,名詞,4926,1028
東京,名詞,4810,1474
芸能,名詞,4598,1284
シングル,名詞,4482,863
発売,名詞,4404,926
好き,名詞,4252,713
歌手,名詞,4232,1026
曲,名詞,4224,731
事務所,名詞,4114,1278
チーム,名詞,4054,427
行う,動詞,3982,1027
女性,名詞,3918,1463
モデル,名詞,3462,959
人物,名詞,3458,1597
ライブ,名詞,3400,710
ユニット,名詞,3290,1018
映画,名詞,3184,683
テレビ,名詞,3178,861
オーディション,名詞,3176,910
型,名詞,3166,804
自身,名詞,3134,819
平成,名詞,3070,708
務める,動詞,3002,841
名義,名詞,2858,653
略歴,名詞,2744,1371
開催,名詞,2722,607
乃木坂,名詞,2712,116
時代,名詞,2650,764
ドラマ,名詞,2640,606
作品,名詞,2594,794
参加,名詞,2586,850
位,名詞,2560,491
放送,名詞,2496,577
写真,名詞,2456,658
当時,名詞,2342,656
イベント,名詞,2178,677
開始,名詞,2154,720
趣味,名詞,2136,922
役,名詞,2126,535
現在,名詞,2126,836
アルバム,名詞,2124,598
高校,名詞,2094,649
賞,名詞,2070,465
初,名詞,2058,563
選抜,名詞,2012,365
受賞,名詞,2004,607
音楽,名詞,1992,549
愛称,名詞,1992,846
いう,動詞,1952,510
特技,名詞,1938,831
学校,名詞,1926,668
期生,名詞,1858,481
受ける,動詞,1838,576
来歴,名詞,1824,910
ない,形容詞,1814,503
担当,名詞,1798,579
ソロ,名詞,1766,431
楽曲,名詞,1754,466
リリース,名詞,1732,474
引退,名詞,1728,575
ファン,名詞,1724,512
イメージ,名詞,1688,616
生,名詞,1682,465
結成,名詞,1646,599
加入,名詞,1644,523
合格,名詞,1640,592
雑誌,名詞,1638,587
舞台,名詞,1636,494
主演,名詞,1628,404
公式,名詞,1610,523
結婚,名詞,1558,536
レギュラー,名詞,1550,466
本名,名詞,1542,636
芸名,名詞,1534,533
血液,名詞,1514,745
ちゃん,名詞,1490,468
さ,名詞,1476,499
選ぶ,動詞,1454,533
劇場,名詞,1442,401
披露,名詞,1426,452
本人,名詞,1414,435
みる,動詞,1402,492
身長,名詞,1392,659
思う,動詞,1382,358
大阪,名詞,1378,431
始める,動詞,1378,503
歌う,動詞,1376,341
仕事,名詞,1364,452
ミス,名詞,1360,408
高等,名詞,1356,532
声優,名詞,1344,276
娘,名詞,1344,300
撮影,名詞,1336,419
坂,名詞,1336,114
グランプリ,名詞,1336,485
