word,pos,total,articles
出演,名詞,506,109
日本,名詞,408,161
番組,名詞,382,87
活動,名詞,357,105
草,名詞,344,5
メンバー,名詞,326,117
デビュー,名詞,315,97
事務所,名詞,314,97
映画,名詞,310,59
アイドル,名詞,289,118
所属,名詞,268,146
ニーズ,名詞,251,62
ジャ,名詞,250,61
俳優,名詞,241,116
主演,名詞,227,50
グループ,名詞,227,98
歌手,名詞,212,90
ドラマ,名詞,211,54
賞,名詞,203,35
曲,名詞,200,51
テレビ,名詞,197,69
出身,名詞,184,152
同年,名詞,184,62
当時,名詞,178,54
東京,名詞,167,76
位,名詞,167,56
コンサート,名詞,164,35
放送,名詞,163,44
音楽,名詞,158,53
行う,動詞,157,57
自身,名詞,147,49
務める,動詞,145,69
役,名詞,145,37
芸能,名詞,137,63
作品,名詞,133,43
時代,名詞,129,50
ない,形容詞,128,50
受賞,名詞,128,36
語る,動詞,128,38
男性,名詞,127,84
タレント,名詞,124,76
発表,名詞,124,53
シングル,名詞,121,53
結成,名詞,119,70
開催,名詞,116,31
オーディション,名詞,112,66
いう,動詞,112,40
ダンス,名詞,112,43
舞台,名詞,112,47
言う,動詞,104,41
参加,名詞,104,56
卒業,名詞,103,70
型,名詞,100,51
ライブ,名詞,100,40
受ける,動詞,99,48
発売,名詞,99,33
思う,動詞,96,27
ファン,名詞,94,38
共演,名詞,92,27
担当,名詞,91,41
吉川,名詞,91,3
大阪,名詞,90,35
人物,名詞,88,69
学校,名詞,88,64
ん,名詞,88,25
連続,名詞,88,23
レコード,名詞,87,40
好き,名詞,85,35
出場,名詞,85,32
獲得,名詞,81,32
高校,名詞,80,45
持つ,動詞,79,39
見る,動詞,79,32
西城,名詞,79,4
述べる,動詞,79,18
本,名詞,78,20
歌う,動詞,78,30
ソロ,名詞,77,35
さ,名詞,75,35
多い,形容詞,74,37
司会,名詞,74,27
ヒット,名詞,74,25
公演,名詞,74,27
初,名詞,73,26
現在,名詞,73,42
仕事,名詞,73,33
韓国,名詞,71,10
歌,名詞,71,30
アルバム,名詞,71,32
ステージ,名詞,71,33
バンド,名詞,71,26
使用,名詞,71,14
大賞,名詞,70,21
やる,動詞,69,25
評価,名詞,69,28
レギュラー,名詞,69,22
高等,名詞,68,54
来歴,名詞,68,68
ユニット,名詞,68,38
