word,pos,total,articles
研究,名詞,62473,17011
教授,名詞,49488,18099
学,名詞,46580,14842
大学,名詞,45604,15050
日本,名詞,40098,16587
学者,名詞,20988,14110
博士,名詞,20821,12783
科学,名詞,18048,7656
科,名詞,15778,8436
学会,名詞,14628,6171
大学院,名詞,14589,8018
経済,名詞,14241,3871
卒業,名詞,14050,10805
彼,名詞,13988,3319
名誉,名詞,13654,8223
研究所,名詞,13325,6516
務める,動詞,13269,7981
教育,名詞,12930,4688
東京,名詞,12418,6055
行う,動詞,12212,6180
学校,名詞,11835,6263
社会,名詞,11326,4084
長,名詞,11141,5919
委員,名詞,11101,3905
専門,名詞,11069,8797
昭和,名詞,10438,3105
論文,名詞,9376,5037
賞,名詞,9106,4472
医学,名詞,9056,3664
工学,名詞,8579,3032
東京大学,名詞,8530,4061
物理,名詞,8435,3068
助教授,名詞,8148,6353
出身,名詞,8140,7392
植物,名詞,8106,1706
国際,名詞,7937,3794
生まれる,動詞,7858,7114
性,名詞,7804,3493
受賞,名詞,7675,4718
就任,名詞,7602,4194
会長,名詞,7377,4017
取得,名詞,7240,5552
課程,名詞,7165,5297
化学,名詞,7156,2286
学ぶ,動詞,7117,4944
明治,名詞,7079,1929
経る,動詞,7072,5738
知る,動詞,6976,4762
理論,名詞,6930,2927
政治,名詞,6915,2766
号,名詞,6874,4368
講師,名詞,6752,5029
開発,名詞,6653,3140
高等,名詞,6610,4494
受ける,動詞,6603,3919
アメリカ,名詞,6552,3223
人物,名詞,6535,5591
発見,名詞,6452,2890
生まれ,名詞,6380,6257
理事,名詞,6296,3426
学科,名詞,6281,4639
調査,名詞,6256,2921
世界,名詞,6191,3341
技術,名詞,6158,2989
現在,名詞,6134,4349
学部,名詞,6087,3729
数学,名詞,6059,2249
ドイツ,名詞,6038,3006
帝国,名詞,5942,3129
時代,名詞,5784,3374
文化,名詞,5682,2851
経歴,名詞,5538,5418
協会,名詞,5454,3246
できる,動詞,5433,2481
活動,名詞,5303,3119
ら,名詞,5254,3239
史,名詞,5233,2813
出版,名詞,5173,2641
当時,名詞,5139,2776
分野,名詞,5089,3576
ない,形容詞,5083,2408
修了,名詞,5068,4267
学位,名詞,5030,3734
経営,名詞,4979,1863
発表,名詞,4969,2885
情報,名詞,4962,2153
生物,名詞,4959,2116
センター,名詞,4930,2760
専攻,名詞,4887,3699
州,名詞,4858,2673
問題,名詞,4801,2461
法学,名詞,4779,2191
助手,名詞,4689,3953
同年,名詞,4630,2976
心理,名詞,4608,1225
得る,動詞,4571,2953
学長,名詞,4519,2411
業績,名詞,4314,2993
実験,名詞,4172,1736
京都大,名詞,4166,1896
イギリス,名詞,4163,2228
語,名詞,4096,1781
歴任,名詞,4082,3474
持つ,動詞,4045,2501
父,名詞,4042,2486
病院,名詞,4013,1815
医学部,名詞,4012,1920
医師,名詞,3945,2186
平成,名詞,3908,1405
主義,名詞,3859,1484
著書,名詞,3838,2945
略歴,名詞,3834,3802
政策,名詞,3805,1780
フランス,名詞,3798,1838
国立,名詞,3791,2270
環境,名詞,3762,1651
学術,名詞,3663,2495
自然,名詞,3658,1896
指導,名詞,3637,2606
法学部,名詞,3630,1727
設立,名詞,3630,2426
医,名詞,3620,1824
会員,名詞,3611,2632
経済学部,名詞,3595,2035
いう,動詞,3590,1925
中国,名詞,3589,1359
客員,名詞,3558,2272
影響,名詞,3554,2140
死去,名詞,3542,3026
生涯,名詞,3503,2922
院,名詞,3494,1966
法人,名詞,3448,1907
地理,名詞,3339,995
京都,名詞,3307,1678
理学,名詞,3306,2051
著作,名詞,3290,2048
考える,動詞,3271,1599
最初,名詞,3247,2086
部長,名詞,3236,2390
哲学,名詞,3219,1285
代表,名詞,3202,2167
年間,名詞,3196,2327
歴史,名詞,3188,1837
入学,名詞,3185,2281
修士,名詞,3179,2795
来歴,名詞,3163,3154
呼ぶ,動詞,3156,2083
構造,名詞,3152,1621
動物,名詞,3140,1298
定年,名詞,3126,2904
評価,名詞,3049,1949
会議,名詞,3048,1897
アメリカ合衆国,名詞,3041,2322
大正,名詞,3000,1378
期,名詞,2953,1949
総合,名詞,2947,1966
担当,名詞,2943,1943
参加,名詞,2914,2022
批判,名詞,2913,1258
貢献,名詞,2898,2178
所長,名詞,2865,2048
大阪,名詞,2850,1437
働く,動詞,2839,1950
言語,名詞,2809,944
精神,名詞,2808,954
理学部,名詞,2793,1760
年代,名詞,2789,1759
工学部,名詞,2784,1528
書く,動詞,2774,1557
分析,名詞,2769,1523
地域,名詞,2746,1602
自身,名詞,2746,1634
退職,名詞,2724,2353
留学,名詞,2719,2053
続ける,動詞,2718,1897
天文学,名詞,2707,1236
用いる,動詞,2706,1775
人間,名詞,2702,1416
さ,名詞,2689,1764
学生,名詞,2675,1748
主張,名詞,2670,1271
計画,名詞,2663,1234
文学,名詞,2650,1531
早稲田大学,名詞,2642,1244
運動,名詞,2574,1345
観測,名詞,2565,940
共同,名詞,2553,1725
博物館,名詞,2537,1251
退官,名詞,2530,2266
結果,名詞,2528,1497
勤務,名詞,2525,1999
