word,pos,total,articles
選手権,名詞,2454,458
位,名詞,2414,291
スケート,名詞,2123,776
シーズン,名詞,1515,222
フィギュア,名詞,1485,775
選手,名詞,1279,775
回転,名詞,1124,93
世界,名詞,1081,289
出場,名詞,999,226
優勝,名詞,943,311
男子,名詞,933,672
シングル,名詞,874,671
オリンピック,名詞,841,299
出身,名詞,716,677
ジュニア,名詞,694,210
杯,名詞,672,188
代表,名詞,591,359
ジャンプ,名詞,552,89
大会,名詞,539,176
グランプリ,名詞,538,155
獲得,名詞,447,103
シリーズ,名詞,405,141
全日本,名詞,388,63
日本,名詞,350,99
男性,名詞,337,330
カナダ,名詞,329,110
成功,名詞,328,68
ループ,名詞,318,49
ロシア,名詞,314,99
演技,名詞,299,60
競技,名詞,297,145
国際,名詞,296,161
アクセル,名詞,261,60
経歴,名詞,260,259
引退,名詞,258,159
ファイナル,名詞,248,74
ペア,名詞,245,103
練習,名詞,241,76
始める,動詞,240,170
総合,名詞,231,74
全米,名詞,229,62
トウ,名詞,229,42
戦,名詞,226,66
シニア,名詞,226,135
果たす,動詞,221,107
大陸,名詞,217,91
連続,名詞,212,72
フリー,名詞,209,36
アメリカ,名詞,205,97
フランス,名詞,199,62
入る,動詞,193,93
ショートプログラム,名詞,189,58
ベスト,名詞,188,61
欧州,名詞,185,77
開催,名詞,178,72
初,名詞,175,75
終わる,動詞,172,86
ミス,名詞,170,52
更新,名詞,168,52
続く,動詞,167,50
現在,名詞,166,122
クラス,名詞,166,95
受ける,動詞,166,73
発表,名詞,165,76
連盟,名詞,165,74
五輪,名詞,161,46
サル,名詞,153,30
コウ,名詞,153,30
氷,名詞,150,30
メダリスト,名詞,150,109
自己,名詞,147,41
表彰台,名詞,142,82
参戦,名詞,141,100
自身,名詞,139,52
転倒,名詞,139,43
ドイツ,名詞,137,66
連覇,名詞,137,60
プログラム,名詞,136,39
最高,名詞,136,64
決める,動詞,134,50
銀メダル,名詞,133,53
アメリカ合衆国,名詞,132,112
試合,名詞,130,62
指導,名詞,128,64
中国,名詞,128,53
コンビネーション,名詞,128,43
行う,動詞,127,60
欠場,名詞,125,58
銅メダル,名詞,119,62
入賞,名詞,113,59
ソチ,名詞,110,48
スピン,名詞,110,46
得点,名詞,110,27
できる,動詞,110,52
メダル,名詞,108,62
パートナー,名詞,107,98
州,名詞,104,73
生まれる,動詞,104,100
アイス,名詞,103,52
進出,名詞,103,61
イギリス,名詞,102,59
活動,名詞,102,63
ない,形容詞,100,54
最後,名詞,100,56
スポーツ,名詞,100,35
成績,名詞,99,72
スケーター,名詞,97,59
史上,名詞,97,30
ショー,名詞,97,45
技術,名詞,97,45
枠,名詞,96,39
主,名詞,94,85
記録,名詞,94,21
バンクーバー,名詞,93,51
振付,名詞,92,42
チェコ,名詞,92,47
卒業,名詞,92,58
冒頭,名詞,92,17
ヨーロッパ,名詞,92,47
怪我,名詞,91,55
昌,名詞,91,36
拠点,名詞,90,48
彼,名詞,89,28
選出,名詞,88,46
全て,名詞,88,45
復帰,名詞,88,44
イタリア,名詞,87,37
順位,名詞,87,47
本,名詞,86,23
変更,名詞,86,46
羽生,名詞,86,23
国内,名詞,86,53
トリノ,名詞,85,41
結果,名詞,85,35
着る,動詞,84,18
公式,名詞,84,36
度目,名詞,84,39
転向,名詞,81,58
高い,形容詞,80,31
現役,名詞,80,46
プロ,名詞,79,45
棄権,名詞,78,42
リンク,名詞,78,36
人物,名詞,77,73
参加,名詞,77,52
長野,名詞,76,36
オーストリア,名詞,76,46
平,名詞,76,33
初戦,名詞,75,26
つける,動詞,74,33
冬季,名詞,74,45
ショート,名詞,73,11
大学,名詞,73,44
立つ,動詞,73,49
後半,名詞,72,14
予定,名詞,72,33
逃す,動詞,72,42
ステップ,名詞,71,26
所属,名詞,71,49
トリプル,名詞,68,21
予選,名詞,68,51
同年,名詞,67,47
師,名詞,66,35
ロス,名詞,66,38
戦績,名詞,66,64
影響,名詞,66,45
学校,名詞,65,48
飾る,動詞,64,43
エリック,名詞,64,33
フリップ,名詞,64,20
時代,名詞,63,41
以来,名詞,63,30
テレ,名詞,63,35
コム,名詞,63,35
務める,動詞,62,48
合計,名詞,62,21
最終,名詞,60,39
とも,名詞,60,35
着,名詞,60,20
アイスダンス,名詞,60,45
モスクワ,名詞,59,40
語る,動詞,59,20
構成,名詞,58,17
ボン,名詞,58,30
パール,名詞,57,29
レベル,名詞,57,23
団体,名詞,57,27
派遣,名詞,57,23
チャンピオン,名詞,56,45
跳ぶ,動詞,56,33
ノー,名詞,56,23
選ぶ,動詞,55,38
続ける,動詞,55,33
ハンガリー,名詞,55,23
パーソナル,名詞,55,34
披露,名詞,55,26
金メダル,名詞,54,25
しまう,動詞,54,29
審判,名詞,54,32
結,名詞,54,26
足首,名詞,54,30
日本人,名詞,54,27
師事,名詞,53,40
出演,名詞,53,30
失敗,名詞,52,29
終了,名詞,52,37
評価,名詞,52,25
挑戦,名詞,52,19
出遅れる,動詞,51,32
当時,名詞,51,37
得る,動詞,51,25
手術,名詞,51,29
加点,名詞,50,8
公認,名詞,50,30
個人,名詞,49,25
活躍,名詞,49,38
ら,名詞,49,35
首位,名詞,49,19
オーストラリア,名詞,48,26
弦,名詞,48,23
上げる,動詞,48,31
語,名詞,48,43
トータル,名詞,48,7
エキシビション,名詞,48,26
銅,名詞,48,45
チーム,名詞,48,32
北京,名詞,48,21
アマチュア,名詞,47,35
達成,名詞,46,18
結成,名詞,46,28
いう,動詞,46,34
さ,名詞,45,23
辞退,名詞,45,34
移す,動詞,45,38
大きい,形容詞,45,29
