word,pos,total,articles
世,名詞,2470,305
公,名詞,1127,247
王,名詞,864,229
フランス,名詞,793,147
軍,名詞,762,127
結婚,名詞,568,257
ルイ,名詞,393,85
イギリス,名詞,392,99
父,名詞,389,182
継承,名詞,385,148
ジョージ,名詞,375,42
戦争,名詞,355,114
彼,名詞,352,120
ドイツ,名詞,351,119
生まれる,動詞,350,244
娘,名詞,349,205
公爵,名詞,335,89
王位,名詞,320,112
王子,名詞,293,126
イングランド,名詞,289,50
伯,名詞,285,108
国王,名詞,275,99
フリードリヒ,名詞,267,57
生涯,名詞,263,247
イタリア,名詞,259,68
スペイン,名詞,246,68
妻,名詞,246,154
死去,名詞,241,156
息子,名詞,232,135
戦い,名詞,219,70
貴族,名詞,218,96
カール,名詞,217,76
受ける,動詞,211,97
ヘンリー,名詞,205,26
プロイセン,名詞,203,70
派,名詞,202,57
皇帝,名詞,201,96
王国,名詞,201,110
オランダ,名詞,197,46
兄,名詞,186,107
王族,名詞,185,131
ない,形容詞,183,92
称号,名詞,183,97
行う,動詞,176,82
位,名詞,173,94
議会,名詞,172,40
長男,名詞,167,126
帝国,名詞,165,61
ナポレオン,名詞,165,30
権,名詞,164,88
領,名詞,163,78
ローマ,名詞,162,56
妃,名詞,160,124
シチリア,名詞,160,30
教皇,名詞,156,29
ウェリントン,名詞,156,8
官,名詞,155,75
女,名詞,152,111
務める,動詞,150,95
フィリップ,名詞,148,62
オーストリア,名詞,148,62
弟,名詞,146,98
ロシア,名詞,146,45
同盟,名詞,144,47
政治,名詞,144,67
もうける,動詞,141,120
ギリシャ,名詞,141,27
伯爵,名詞,140,59
率いる,動詞,140,45
革命,名詞,140,65
大公,名詞,139,65
エドワード,名詞,137,26
バイエルン,名詞,137,33
母,名詞,137,87
即位,名詞,136,68
太子,名詞,135,55
与える,動詞,134,79
政府,名詞,132,52
陸軍,名詞,129,61
ハインリヒ,名詞,129,17
王女,名詞,128,67
ブルボン,名詞,126,54
州,名詞,125,53
世界,名詞,121,74
軍人,名詞,119,83
同年,名詞,118,66
海軍,名詞,118,41
子女,名詞,117,102
男,名詞,117,96
パリ,名詞,117,55
指揮,名詞,115,60
在位,名詞,115,79
共和,名詞,114,47
党,名詞,113,22
相続,名詞,113,66
王妃,名詞,112,62
司令,名詞,111,53
侯,名詞,111,57
女王,名詞,110,49
摂政,名詞,110,57
ウィリアム,名詞,110,21
子供,名詞,109,79
支持,名詞,109,52
宮殿,名詞,107,70
アン,名詞,107,34
当時,名詞,106,73
総督,名詞,105,38
カトリック,名詞,103,30
認める,動詞,102,59
亡命,名詞,100,58
いう,動詞,99,53
連隊,名詞,98,39
夫妻,名詞,98,59
デンマーク,名詞,98,41
次男,名詞,97,85
スウェーデン,名詞,97,42
反乱,名詞,96,38
得る,動詞,95,56
大戦,名詞,95,57
チャールズ,名詞,94,21
持つ,動詞,94,65
夫人,名詞,94,57
君主,名詞,94,44
帰国,名詞,94,50
代,名詞,94,62
死,名詞,93,66
呼ぶ,動詞,93,73
自身,名詞,92,61
国民,名詞,92,41
城,名詞,92,54
ナポリ,名詞,91,20
リチャード,名詞,91,13
朝,名詞,91,56
アーサー,名詞,89,14
ジェームズ,名詞,89,19
王室,名詞,89,48
対立,名詞,88,50
最初,名詞,87,68
参加,名詞,86,57
宮廷,名詞,85,38
コン,名詞,85,26
知る,動詞,85,51
ザクセン,名詞,83,39
できる,動詞,83,45
王家,名詞,82,50
問題,名詞,82,42
反対,名詞,81,38
最後,名詞,81,56
フランソワ,名詞,81,26
時代,名詞,80,44
