word,pos,total,articles
世,名詞,2221,399
結婚,名詞,1017,401
王,名詞,986,322
公,名詞,985,292
夫,名詞,585,258
妃,名詞,576,265
彼女,名詞,459,158
娘,名詞,448,272
生まれる,動詞,444,339
王子,名詞,418,148
イギリス,名詞,413,125
王女,名詞,408,150
女,名詞,380,228
王妃,名詞,373,175
生涯,名詞,369,340
大公,名詞,337,133
父,名詞,333,164
ドイツ,名詞,326,170
母,名詞,325,166
妻,名詞,323,197
ダイアナ,名詞,313,6
カール,名詞,303,119
公爵,名詞,285,102
フランス,名詞,277,120
女王,名詞,273,89
皇帝,名詞,272,99
デンマーク,名詞,271,84
ない,形容詞,264,131
継承,名詞,261,107
息子,名詞,259,134
宮殿,名詞,258,133
夫妻,名詞,251,125
ジョージ,名詞,250,69
子供,名詞,244,162
王位,名詞,242,112
太子,名詞,237,103
ルイ,名詞,226,82
スウェーデン,名詞,225,67
皇太子,名詞,222,27
王族,名詞,217,152
王室,名詞,216,77
侯,名詞,212,89
夫人,名詞,209,98
妹,名詞,208,137
死去,名詞,207,154
スペイン,名詞,204,66
弟,名詞,203,129
国王,名詞,195,93
姉,名詞,191,116
長女,名詞,184,150
エドワード,名詞,180,44
もうける,動詞,179,167
受ける,動詞,178,99
メアリー,名詞,174,31
宮廷,名詞,172,93
兄,名詞,171,109
語,名詞,171,128
城,名詞,168,100
伯,名詞,166,93
離婚,名詞,164,60
生活,名詞,163,97
プロイセン,名詞,161,66
称号,名詞,158,79
フリードリヒ,名詞,158,76
ヘンリー,名詞,158,13
いう,動詞,157,75
ロシア,名詞,152,47
モナコ,名詞,151,20
誕生,名詞,150,84
行う,動詞,143,70
最初,名詞,142,110
エリザベス,名詞,142,44
ザクセン,名詞,141,77
マリー,名詞,141,64
マリア,名詞,140,67
バイエルン,名詞,139,56
アレクサンドラ,名詞,139,38
子女,名詞,137,109
位,名詞,137,71
亡くなる,動詞,136,109
皇后,名詞,133,56
長男,名詞,132,96
伯爵,名詞,131,64
帝,名詞,131,50
イタリア,名詞,131,74
選,名詞,128,47
のち,名詞,128,92
王家,名詞,126,79
キャサリン,名詞,125,8
呼ぶ,動詞,125,89
オーストリア,名詞,123,76
婚約,名詞,123,67
当時,名詞,122,83
フィリップ,名詞,122,59
女性,名詞,120,77
ギリシャ,名詞,120,36
貴族,名詞,116,78
彼,名詞,115,73
持つ,動詞,114,81
即位,名詞,113,82
権,名詞,113,64
男,名詞,113,100
イングランド,名詞,110,32
両親,名詞,107,80
ロンドン,名詞,106,52
次女,名詞,104,91
アンナ,名詞,103,47
一家,名詞,102,48
結婚式,名詞,102,64
再婚,名詞,101,76
パリ,名詞,100,62
世界,名詞,99,65
暮らす,動詞,98,72
与える,動詞,96,62
マリヤ,名詞,96,2
カトリック,名詞,93,48
ナポレオン,名詞,93,34
グスタフ,名詞,92,27
国民,名詞,92,41
自身,名詞,91,60
務める,動詞,90,66
訪問,名詞,90,40
アン,名詞,89,31
大戦,名詞,89,59
領,名詞,88,58
ら,名詞,87,59
